id,provider,category,purpose,service,display_name,url,service_status,aliases
aws-aws-organizations,AWS,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",AWS Organizations,AWS Organizations,https://docs.aws.amazon.com/aws-organizations/,active,
aws-control-tower,AWS,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Control Tower,Control Tower,https://docs.aws.amazon.com/control-tower/,active,
aws-account-factory-for-terraform,AWS,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Account Factory for Terraform (AFT),Account Factory for Terraform (AFT),https://docs.aws.amazon.com/account-factory-for-terraform/,active,
google-cloud-resource-manager,Google Cloud,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Resource Manager (Org/Folders/Projects),Resource Manager (Org/Folders/Projects),https://cloud.google.com/resource-manager/docs,active,
google-cloud-cloud-identity,Google Cloud,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Cloud Identity,Cloud Identity,https://cloud.google.com/cloud-identity/docs,active,
google-cloud-infrastructure-manager,Google Cloud,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Infrastructure Manager,Infrastructure Manager,https://cloud.google.com/infrastructure-manager/docs,active,
azure-management-groups,Azure,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Management Groups,Management Groups,https://learn.microsoft.com/en-us/azure/management-groups/,active,
azure-subscriptions,Azure,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Subscriptions,Subscriptions,https://learn.microsoft.com/en-us/azure/subscriptions/,active,
azure-azure-landing-zones,Azure,Lifecycle: 0. Account & Organization Setup,"Root account creation, multi-account topology, baseline guardrails",Azure Landing Zones (Bicep/Terraform + Azure Verified Modules),Azure Landing Zones (Bicep/Terraform + Azure Verified Modules),https://learn.microsoft.com/en-us/azure/azure-landing-zones/,active,
aws-iam,AWS,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",IAM,IAM,https://docs.aws.amazon.com/iam/,active,
